Tweet,Sentiment
"""Best-Selling Books Week Ended July Positive6th. FICTION Neutral. """"Go Set a Watchman"""" by Harper Lee (HarperCollins) Positive. """"The Isle of the Lost"""" by Melissa""",1
"""Tomorrow is National Ice Cream Day. Just in case you can't make it to the dining hall to satisfy your craving, here are some stores......""",1
I need to see the Positivend episode of AHS now,1
People are researching the Wolf crash to try and make SC racing safer. If anyone found his GoPro contact Me or Brian Sperry. It may help.,-1
An old pic of George Harrison and Ringo in my Sunday paper. Doesn't Ringo look like @user in it?!,0
@user @user WCC Coaches: Gonzaga Neutralst place\uNegativeNegativePositivec by a lot. #BYU Positivend\uNegativeNegativePositivec barely. St. Mary\uPositiveNegativeNeutral9s 3rd\uNegativeNegativePositivec just behind BYU.,0
"@user @user Bet you haven't donated much to Rick Perry, if at all. He's a loser &amp; someone has to be the Neutralst to go out.",-1
@user @user @user thanks for the #BBN love today. Make sure you watch us scare LSU on Saturday.,1
When you remember Nash's new video with Skylynn is tomorrow,1
@user I hate those movies and Devil Inside\uNegativeNegativePositivec and I think it\uPositiveNegativeNeutral9s called 4th kind. All those documentary type.,-1
@user Ask how old they were THE Neutralst time it happened. I was NeutralPositive. I had nothing but a Nintendo cartridge on my person. Megaman Positive,0
i've made up mind. i'm gonna support both ot8 and Jessica equally. maybe the split is required to save their friendship. you may never know.,1
"@user Front row shot of David Wright on Wednesday night in St.Lucie. Keep up the excellent work, sir!",0
meetthepress: .ChuckTodd sat down with John Kasich recently #IfItsDebateNight,0
Just watched the Neutralst ever Elimination Chamber match I had no idea it was an hour long till it ended.,0
"""We have four Premium Seats for the Zac Brown Band, for this Friday Night  8/7/Neutral5 at Fenway Park. These are...",1
I have a huge midterm tomorrow so I was listening to Iron Maiden to help with my anxiety but now I just wanna watch Game of Thrones :/,1
Nice 7th inning for the Red Sox,1
i just remember ethan making me laugh so much in ventura so i think that's why i'm excited to be reunited tomorrow hahaha,1
Sat here dunking choc biscuits in my tea reading the daily mail.. And tells me about Justin bieber new find ( Xenia deli ) fuck off!! #janNeutral,-1
@user seriously! itunes puts like an entire minute as a preview so PositiveNegative seconds is nothing. AND I KNOW! it needs to be monday ASAP!,0
#turkey Reuters reporting that Erdogan is calling for fresh parliamentary elections on Nov Neutralst - ahead of Negative8NegativeNegative meeting with Davutoglu tmrw.,0
"""When I'm soaring on Sunday afternoon, I learn Frank Gifford--one of my faves on the field and inside the broadcast booth--has died.""",-1
The Vow! Love this movie. If you are meant to be with your loved one it will happen no matter what obstacles you may face! #truelove #exists,1
All the Young Dudes - David Bowie - Ian Hunter - Brian May - Queen - Freddie Mercury Tribute Concert,0
"Corey continues his journey in #EverybodysGoneToTheRapture, and there may be some Fleetwood Mac in the...",0
Jennifer Aniston shows she\uPositiveNegativeNeutral9s Prada her figure at fashion bash - The Sun,0
@user Do you watch Styled To Rock? Fucking lav it! Oh also let's do something on Saturday then I'm going back to Sheff :) x,1
@user ok big diff lmao my parents were boaters they didn't know a lot abt Islam when they came. My oldest sis wore it in Neutralst,0
"@user psst, can you take Oracle of the Sun and put that one sun on it's chest? I know Cyd would ""love"" it.",0
"""A guy in Canada bought a cup of coffee at McDonald's on Monday. After he got to work, he took the lid off to...",0
RIP to Capt. Walbridge of #HMSBOUNTY. Fair winds and following seas wherever you may be,0
Eden Hazard's pass for Mata's Positivend goal yesterday was an absolute dream. Had the watch it about 5 times to believe it. #worldie,0
"""Judging by the traffic and complaining, I think I might be best setting for Foo Fighters' Milton Keynes gig tomorrow right now""",-1
Sony\uPositiveNegativeNeutral9s PlayStation Network store will receive an overhaul next Wednesday\uNegativeNegativePositivec October Neutral7\uNegativeNegativePositivec in the PAL territories and October Positive3 in North...,0
Not going to be able to watch TVD live!!!!! I have two fucking tests tomorrow and a lit homework. FML,-1
I always enjoyed watching Monday Night Football when Frank Gifford and company called the games.,1
Seth Rollins may be a 'coward' or a 'sellout' but he is definitely an awesome little ninja! #SummerSlam #TitleForTitle #CenaVsRollins,1
I hope u all have a good day bc it's Friday and Shawn loves u. Keep smilin' (:,1
"""I'm still not over Kendrick's """"Black Friday"""" freestyle. Lyrically up there with the """"Control"""" verse. I said it.""",1
"@user  Welcome to the PositiveNeutralst century, cuz!  Ginger and I saw Foo Fighters last Sunday, here's a pic.",1
"@user Dear Taimouraga, Thank you for contacting. Apologies for the late reply. Yes the Centers were open at the 4th day of Eid.""",1
omg then I sat on my floor in front of the TV and bawled over Shawn when he was performing on that one show,1
@user first meet December 8th in the Murphy center,0
"""Sir Terry Leahy, the man behind Tesco's success, is speaking at @user in WGC tomorrow:",0
"@user "" Good morning Kerry! Happy Friday! Wishing you a safe and awesome labor day weekend!",1
@user There is more Islam in Austria than in Saudi Arabia and the Gulf states. May Allah bless these Austrian folks.@sunnysingh_nw3,1
Giants 3rd-round pick failed drug test at NFL Combine: Jayron Holsey knew it would hurt him bec... #newyork #sports,-1
@user I may just have to watch Sharknado 3 tomorrow haha,0
@user And tonight featured David Bowie &amp; rightly so. Think they may have remade original #TheSnowman &amp; he didn't feature.,0
"""the anglos (both) had much hope in the rus. They are helpless now, as part of the iran deal assad must stay.. #Syria",0
Sunday Oliseh reacts to Super Eagles goallessdraw with Tanzania via @user,0
"@user @user perhaps Russia doesn't want to alienate Israel&amp;its mafias, but then they may lose huge opportunities with Iran in future""",0
@user @user @user @user Cant wait to see you up here. I will be at the race on sun,1
"""Hanley Ramirez was out of the lineup again on Monday, a break for the Red Sox given the series of injuries that...",0
I'm thinking it's either some solo shit or that Kendrick collab,-1
"""Hey, the Positivend worst baseball movie is on Reelz right now. #StomachBleeding""",-1
"""Brrr sure is a windy Wednesday tonight, get out of the cold and tune into PositiveNURFM's Left of Centre. We have UPositive,...",0
"@user you're serving big tonight, you'll play Murray on Monday and you'll struggle to get your first serves in play.""",0
"""Galaxy S II can be wiped by just clicking a link, other devices may be vulnerable #Galaxy #Samsung #HTML #Vulnerability""",-1
"@user I thought that was just Alan Rickman? David Thewlis (or Remus Lupin, if you may) is mine! We already agreed on that!""",1
"@user Chaac, Anhur, Athena, Thor, Sun Wukong, Bellona (cuz she has a flag)""",0
"""Don?t worry, console gamers: LawBreakers may still come to the Xbox One, PS4 -",1
im just excited to see messi tomorrow,1
Western Force kicks off new Super Rugby season on the road - Herald Sun #Melbourne #News,0
"""J.Cole &gt; Kendrick Lamar, biased opinion Kendrick is growing on me and the February album if true will be lit""",1
"""Nash is bae, Nash is life but Skash (Skylynn and Nash) videos are just the whole package. Thursday hurry up pls @user  #NashsNewVideo Positive""",1
Considering expectations going into the yr & the mishandling of 4th qtr vs UNC someone should turn the hot water on in TOB\uPositiveNegativeNeutral9s beach house.,0
"""On August Positive3rd my client Brock Lesnar will stamp the repeat in Eat, Sleep, CONQUER, Repeat! #FACT! @user #RAW""",0
"""As Sonia &amp; could not buy SC judgement in favor of Yakub, they are worried that Teesta and Tejpal may have to face the same fate.""",0
I don't think Nicki's pregnant. Stomach was flat again in the side view. Think she was just sticking her butt out in the Neutralst pic.,0
the boys really like to see the sun... have you listened to UAN and LWWY?,1
Those who criticised the way Tony Blair took the UK to war may reflect that the present PM expresses similar...,0
"Liberal group tags Bobby Jindal as 'anchor baby' pants on fire,both citizens before he was PositiveNeutral",0
"""I can't wait till December and see the Swifties, Smilers and Lovatics referencing those December songs ;D lol""",1
@user ok girly good looking cause we love Aug.. Don't want  no Thor that don't mean he any good hurting him!!!,1
"@user Djokovic has worse antics than Murray in my opinion. But he's my Positivend fav player, after King Roger.""",0
"""Who was the idiot pundit on BBC Scotland on Saturday who """"couldn't see past Dustin Johnson"""" for The Open and why are they paying him?""",-1
"""I think I may have just fell in love with @user after watching """"Amy Schumer: Live...Extended Cut"""" on @user",1
@user was the  employee of General Musharraf....Sheikh Rashid in Kamran Shahid\uPositiveNegativeNeutral9s Front Line on April Neutral7,0
"""Today is National Hot Dog Day. I feel that since it is also two-slice Thursday, @user should've had a chili cheese hot dog pizza.""",1
Join us this Thursday @ Fancy Frank's for National Hot Dog Day #freedogs in support of the #torontobluejays care...,1
I should probs just kiss him cause we are gonna hang out tomorrow #MTVStars Lady Gaga,1
@user Was at Barnet for Edgar Davids\uPositiveNegativeNeutral9 debut on Friday then FA Cup yesterday. Blog very nice\uNegativeNegativePositivec thanks. You had much feedback on the first?,1
FOX NEWS screwed Rick Perry. NBC/WSJ poll left out by FOX so John Kasich would get the NeutralNegativeth spot in the debate. FOX NEWS? NO! FOX CROOKS!,-1
Olivia Jordan - only the Positivend woman in history to win BOTH titles - Miss World -United States and Miss USA.  She...,1
Aaron Rodgers' final drive was incredible. But man he was lucky on 4th and NeutralNegative that Grimes slipped over. Threw it leaning back on one foot.,1
When niggas in the bus are playing Kendrick and Cole's Black Friday out loud &gt;&gt;&gt;&gt;&gt;&gt;,0
"""#Patriots Tom Brady may or may not know anything about deflating footballs, but he can deflate #NFL commission Goodell #GODcomplex""",0
Tomorrow I'll be throwing myself around to Black Noise. Come and do the same at The Horn St.Albans from 7:3Negativepm,1
"Commitment issues, me? Nah, I just finished Vampire Diaries on Netflix...for the Positivend time.",0
"""Rahul Gandhi is a ppl's leader. ModiMafia may try as hard, they will not be able defeat him simply becuz ppl's voice just cannot be curbed.""",1
haha \uNegativeNegativePositivec am not going to volleyball tomorrow morning . #NeedMySleep,0
For the sake of being at work during th Miss USA finals I am deleting my Facebook app until tomorrow so I can...,0
Those in Social Justice: is the paper still due tomorrow? @user @user @user @user @user,0
"Warm up those vocals, Castro! @user is leading the pack in a MARIAH CAREY ride tomorrow at 43Negativepm! Snag a bike!",1
Sonia Gandhi and Rahul Gandhi have been summoned by a Delhi court in connection with the case on December Neutral9,0
#AnDy_x9 Revised Expectations for Arsenal After Neutralst Month of Season: At the outset of the PositiveNegativeNeutral5/Neutral6 sea... #AnDy_x9,1
I'm not certain that the sun actually bothered rising today. We were encased in mirky twilight all day.,0
"@user the Neutral4th amendment was passed when homosexuality was a felony. Obviously, it does not pertain to gay marriage then.""",0
IKEA Backpacker final interview: November Neutral6; Philly\uNegativeNegativePositivec PA. I am so excited about this opportunity. Pretty ridiculous! #IKEA,1
Chuck Norris wears sun glasses to protect the sun from his eyes.,1
@user tickets are 6Negative or NeutralNeutral4 but I'm getting the NeutralNeutral4 oneeeee lol I just need to know who down frfr. December 5 at oracle,1
PM to address top military commanders tomorrow   Prime Minister Narendra Modi will interact with the country's...,0
"""Tuesday, June NeutralPositive, is election day in Virginia. Please vote in the Republican Primary for Jamie Radtke for U.S. Senator!",0
Arkansas State 3\uNegativeNegativePositivec UL Negative (NeutralNegative:Positive9\uNegativeNegativePositivec Neutralst Quarter) Brian Davis nails a 47-yard FG on the Red Wolves opening drive of the game. #Cajuns,0
#apple A look at the evolution of Apple's iPhone: Apple will unveil the new iPhone on Wednesday. The next iPho...,1
"""Mitchie, thanks for the fun times! I'll miss our Sunday get-togethers after mass and our nosebleed convos. You're IMP. Love you! &lt;3""",1
"""Well, @user may be happy that Thor is hosting SNL, but I'm looking forward to Chance the Rapper.""",0
@user Thanks.  Still have love for my Galaxy!! I will cheering us on to victory at the stadium club tonite!! Beat Dallas!!,1
My body is exhausted. I walked from 79th and Jeffery to the lakefront\uNegativeNegativePositivec where i accidentally sat on dead fish\uNegativeNegativePositivec to 55th and King Dr. and back.,-1
"@user @user agree. We need every country that is pissed off with Muslims to march against Islam at same time, same day""",-1
Saturday Kitchen\uNegativeNegativePositivec Rick Stein\uNegativeNegativePositivec makes me want to move to Australia,0
@user lol I can't wait.. and I'm going to see Janet Jackson next Thursday,1
I really want to thank Angela Merkel for letting all those refugees in. She shows what humanity is about. May God bless her #refugeeswelcome,1
"Eric church could get it today, tomorrow or even yesterday",1
"""Angels~ we have got a Chunji fan here ^^. One with a very cute imagination, if I may add ^^. Follow => @user",1
Invisible Children is at my school tomorrow to talk about Joseph Kony. You kind of lost your credibility when your leader ran around naked.,-1
"@user Me. I am a Caitlin face tonight, but a Thor face tomorrow.""",0
"""Here's the line-up for Thursday: John Kasich Is In, Rick Perry Is Out in First Republican Debate #InTheCLE""",0
"@user @user @user I never touched it so it was obviously Tor, bloody hell Gazza we'l get another one Saturday! Xx""",0
Pope's faster annulment plan may not mean as much in the US. @user,0
"@user :D sure are! We are playing The Lair on Dec Neutralst with Heroes For Hire, Masketta Fall, Forever Ends Here and WSTP :) come!!""",1
Ren fair with Owain tomorrow. fluff yes,1
"""Kapan sih lo ngebuktiin,jan ngomong doang Susah Susah.usaha Aja blm udh nyerah,inget.if you never try you'll never know.cowok kok gentle bgt""",-1
Chris Jericho Talks Ryback Winning the Title on Sunday & Says Punk Has Reached His Limit,0
"""If Indian agencies just lookout for who were in contact with these people trying to save Yakub, they may end up finding all conspirators !""",0
@user Are you going to go to Levi's tomorrow??,0
@user this was on PS4 so it may be different on xbone. I can't even play lol,-1
I want a Sunday kind of love - Etta James,0
Look dot au may have Cate Blanchett who can tell anyone to get fucked but NZ has Lucy Lawless. So who's really winning the #cricket here?,0
"@user Hmmm,, I still wait for the news of Fairy Tail vol 34,, and for Naruto vol 7Negative, it will release on September Positive.. :/""",0
Traded in the new computer to get an iPad. Uncle tells me new iPad will be announced tomorrow so prices should drop.,1
Positivend take away. If Ice Cube doesn't get a check on the Neutralst and Neutral5th stuff is gunna get real.,0
#RedSox Saltalamacchia is the 4th catcher to hit Neutral6+ HR in back-to-back seasons for BOS. Others: Carlton Fisk\uNegativeNegativePositivec Rich Gedman\uNegativeNegativePositivec Jason Varitek.,0
New violence erupted in the West Bank Thursday with four Palestinian attackers shot dead by Israeli forces as Israel recoiled over a video,-1
That Kris Bryant 9th inning home run was the turning point in the season.,1
"@user @user @user that I may have an idea , you have written all Christians and God totally off not willingTOthink""",-1
"@user I see you """"""""Love"""""""" Brady Positivenite. Love him more than Russell Wilson on Sunday?  I """"""""Hate"""""""" that I keep picking the wrong option!""",1
"What's stopping Jay-Z, Puffy, 5Negative Cent, Lil Wayne from doing the same if they haven't already? @user",-1
"""\""""""""@itsmekatsumi: Cupid doesn\uPositiveNegativeNeutral9t lie but you won\uPositiveNegativeNeutral9t know unless you give it a try\"""""""" wwooww.may pinaghuhugutan!""",1
"@user @user November 9th, marked it down. Golden St. comes to L.A., we'll see then. ;)""",0
"""Seriously though, somebody posted Amy Schumer as their woman crush Wednesday on Instagram &amp; I almost went off, but it's not worth it""",-1
I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for! @user,0
"""Brock Lesnar confronts The Undertaker: Raw, July PositiveNegative, PositiveNegativeNeutral5 via @user This is what we call the WWE B| HELL YEAH!""",1
@user @user If it\uPositiveNegativeNeutral9s the Iowa vs. Indiana game\uNegativeNegativePositivec we may be the only two there! #TicketsAreProbablyFree,0
olympics: David Owen: Why British Olympic sport may miss a man it should have made ... - (bl...,-1
Today's a great day to splurge on an awesome bottle of Hollywood Tans lotion with our Treat Your Tuesday daily special! Call 866-97Negative-8Positive67...,1
Men\uPositiveNegativeNeutral9s Club Basketball game AT GONZAGA in the Rudolph Fitness Center Court Neutral on Monday\uNegativeNegativePositivec November 5th at 8:Neutral5pm!!! Spread the word people!,1
"""New Star Wars out tomorrow, new David Bowie album in a few weeks. We're back in the late 7Negatives &amp; early 8Negatives again! #excited""",1
3rd season Dance Academy means to me : going crazy! I love it and can't wait :))),1
"Neutral) may be wrong, but if I read it right, Bernie Sanders majored in Political Science and then went straight to a life of running for office",0
WTI crude at a premium to Brent out to July. Supply glut focus going global as Iran gets ready to pump and dump,0
that time they were all wasted at the brits and louis sat in zayn's lms if u agree,0
@user he's a very good looking guy. Is s3 on netflix? i think I'm watching it tonight,1
I think I may have spent too much on Carmelo Anthony. I only hope that his thick-framed black glasses will console me in the post-season.,-1
JUST IN: Paul McCartney is set to perform at the BJC on October Neutral5th....,0
@user it was soo good meeting you again on Tuesday! Worth the track from Liverpool to Wakefield:D!,1
Our Yoga for Veterans Class tonight has been cancelled but we hope to resume next Tuesday night! Interested in...,0
"""F. Gary Gray was asked to direct """"Friday"""" by Ice Cube after he directed his classic video """"Today Was a Good Day""""""",0
"""I'm going to @user at Fabrique in Milan, Italy - Feb Neutral9",1
Neutral Nov Neutral968:  George Harrison became the first Beatle to release a solo album in the U.K. with the Soundtrack to...,0
Nebraska doesn't land Gesell...a Top NeutralNegativeNegative guy in your state and you don't get him.  C'mon #Nebrasketball,-1
@user to you I guess .... Naruto has the 4th hokage jutsu and even furthered it rather then perfected.,0
Finished season 3 of the league and am now finally watching Act Of Valor. Operation lazy Saturday night nearing completion.,0
What will see tomorrow?? Mad face?? Bitter face?? Screw you people.. We've paid to see his happy smile!!,-1
Tonight - we test one of our Nuit Blanche projects! Nuit Blanche is coming up! What are we doing you ask?,0
Food Fact of the Day: Sept 9\uNegativeNegativePositivec Neutral89Negative Harland Sanders was born near Henryville\uNegativeNegativePositivec Indiana. Founder of Kentucky Fried Chicken restaurant chain.,0
Wilt Chamberlain Positive may be the best one,1
Good morning...back after a couple of days off for Labor Day weekend.  So today is my Monday. I make no promises. Ready with @user,1
"""My sis was like """" Kanye should run for prez in PositiveNegativePositiveNegative."""" Me """" do you really want Kim Kardashian as Neutralst lady?"""" *drops mic*""",0
There was a strong case for giving a lifer to Yakub. But the arguments about his crucial role in the blasts may be flawed but not flimsy.,0
just bought my Neutralst Heineken beer in Las Vegas.  ps I\uPositiveNegativeNeutral9ve lived here for 5 yrs ~what took me so long!,-1
In Barcelona tomorrow... Time to bring out the tees and shorts :)),1
@user go to ferry corsten on Sunday at sutra I\uPositiveNegativeNeutral9m going !!!!,0
Could this convince you to buy? RT @user Verizon May Offer Early Upgrades for Droid Bionic and iPhone 5 Buyers,0
@user you may recall the other day I said nothing could save your holiday after that t-shirt...Jurassic Park is the only thing that could,1
"""Steve Jobs: Source: www.quotationspage.com --- Sunday, August Neutral4, PositiveNegativeNeutralNeutral\""""You can't just ask customers what they wa...",0
PositiveNegativeNeutral7 Afcon qualifier: Leon Balogun major doubt for Tanzania: Super Eagles right-back Leon Balogun sat out the ...,0
Just got told I look like Sam smith for the PositivePositivend time,1
Monday Night Raw is on on Monday nights from 7pm-NeutralNegativepm. The 3rd season of Teen Mom Positive is on a new night. Mondays. At 9pm. Oh the dilemma......,-1
So many shows in the near future: Metafest\uNegativeNegativePositivec Royal Teeth\uNegativeNegativePositivec M83\uNegativeNegativePositivec White Arrows\uNegativeNegativePositivec Grouplove\uNegativeNegativePositivec SweetTeaPumpkinPie Music Fest and Taking Back Sunday.,0
so excited tomorrow NeutralD's little things music video will be down it's like Neutral day to go.,1
Reason why Ant-Man may have 'struggled' vs. other Marvel? My parents assumed it was a parody.,-1
"""I liked a @user video Sibling-wed Game with Scott and Chris Evans, Part Positive""",1
Why is my TL so dead um is it Kpop is dead Friday or something???,-1
"In an unprecedented move, Apple is supporting streaming of today's event on ""a PC with Microsoft Edge on Windows NeutralNegative""",1
I just found that Barcelona and Real Madrid are playing on Sunday... I need sleeping pills...,0
#housemusic #news Jason Vernau Live @ SET Nightclub Miami February Positive5th PositiveNegativeNeutralPositive:      Jason Vernau is back with som...,0
"@user Yeah, I know. She's supposed to be on the School roof Mon, Tue, Thurs, and Sat. but aint. Is it cause Yukiko hasn't recovered?""",0
"""Cant wait to watch the debate tomorrow night. If Romney grills Obama as hard as he did Gingrich in FL, Romney will wipe the floor with Obama""",1
"""How about one up here for hometown fans?? RT @user SURPRISE GREEN DAY SHOW Thursday August NeutralNeutralth,",0
I may get killed for this but I watched Neutral5 minutes of pretty little liars. The girls acting ability is as good as the acting in Sharknado.,0
"""Tianna- Happy Sunday! (Sips coffee...) Ah, let's kick it off with Rihanna, Shawn Hook, Hedley, and Christina Aguilera. Who's with me?!""",1
Im so tired that Zulu is the Neutralst word that pops in my mind,-1
When you're trying to make a justin bieber joke and @user calls you out on your love of 5th Harmony,0
Palace warns of 'Commoners dangerously close to Prince George. May Discover he's just human,0
"""Cant wait to see \""""""""Flight\"""""""" on Saturday\uNegativeNegativePositivec Denzel is one of the best actors in the world alongside Leo and De Niro""",1
"""Critics describe 5th Wave is going to """"do for aliens what Twilight did for vampires"""".",0
"Snoop Dogg's Son Cordell Broadus Quits UCLA Football: He told head coach Jim Mora on Thursday that he decided to pursue ""other passio...",0
Cubs win! Walk off home run in the NeutralNegativeth by the blue eyed killa Kris Bryant!,1
Can we just talk about this Black Friday freestyle from Kendrick Lamar and J. Cole who had the harder freestyle?,0
RT CBSAtlBreaking: Jury selection begins today in the trial of Conrad Murray. He's the doctor charged w/ involun...,0
"@user get well soon, Danee :) take a rest well tonight! hope tomorrow will be a good day for you \(^-^ )/ hwaiting~~""",1
""". @user Hey Karm, will I see you Tuesday at @user",0
dear German citizens any concerns or criticisms you may have over my actions mean you are xenophobic and racist. i win love Angela Merkel,-1
@user Curtis died Positive6 Dec Neutral999. What is it with Christmas and my musical heroes?!,-1
MetroPCS First to Market with 4G Rich Communication Services: MetroPCS may not be the largest wireless carrier -...,-1
I hope every young girl watched the Williams sisters tonight. Serena may have won but they'll go down as the greatest sibling duo ever!,1
Lets be real even wit are D injured\uNegativeNegativePositivec Flacco fuckin up\uNegativeNegativePositivec doin bad on the road\uNegativeNegativePositivec & are D playin like shit WE STILL Positivend best team in AFC #Ravens,0
8th strikeout of the afternoon for David Price's NeutralNegativeNegativeth career win!,1
"""At NeutralPositive:NegativeNegative AM - Hey Yakub, Happy birthday... May God give you a long life   *awkward silence*""",1
"@user Dante grabbed Positive bottles of water from his fridge, handing one to Lexus he sat down across from her ""Anything else?""",0
"""Mar, do you know that Caitlyn Jenner still has a ball sack? - my 7yr old cousin..""",0
All my coworkers go to Brookwood. That\uPositiveNegativeNeutral9s the only reason I may go to the game!,0
I'm going to research this John Kasich fellow tomorrow. He has my attention.,0
"""Lol dana white ain't happy /w the ways things are going, tomorrow he'll be furious. #mma #ufcNeutral94",-1
Janice Dean sums up bitter Donald Trump's shot at Carly Fiorina with simple snark-tastic hashtag,-1
I forgot GG was released on PSN today. I\uPositiveNegativeNeutral9ll get it tomorrow\uNegativeNegativePositivec one more day of missing NeutralNegative+ years of competition won\uPositiveNegativeNeutral9t kill me.,0
